Aikaleima;Alue 1 (Wh);Alue 2 (Wh);Alue 3 (Wh);Alue 4 (Wh)
01/01/2022;0;0;0;7503
02/01/2022;0;0;0;2838
03/01/2022;0;0;0;1526
04/01/2022;0;0;0;1065
05/01/2022;0;0;0;1055
06/01/2022;0;0;0;3794
07/01/2022;0;0;0;7235
08/01/2022;0;0;0;4758
09/01/2022;0;0;0;994
10/01/2022;0;0;0;8043
11/01/2022;0;0;0;7002
12/01/2022;0;0;0;1005
13/01/2022;0;0;0;3772
14/01/2022;0;9;0;2786
15/01/2022;0;27;0;7196
16/01/2022;0;59;0;13050
17/01/2022;0;97;0;8849
18/01/2022;0;216;0;11620
19/01/2022;0;0;0;4020
20/01/2022;0;0;0;1986
21/01/2022;0;0;0;5228
22/01/2022;0;0;0;6607
23/01/2022;0;0;0;4902
24/01/2022;0;0;0;3346
25/01/2022;0;0;0;21068
26/01/2022;0;0;0;4447
27/01/2022;0;0;0;3807
28/01/2022;0;0;0;6225
29/01/2022;0;0;0;10147
30/01/2022;0;0;0;6266
31/01/2022;0;0;0;9391
01/02/2022;0;0;0;8053
02/02/2022;0;0;0;5942
03/02/2022;0;0;0;21457
04/02/2022;0;0;0;15326
05/02/2022;0;0;0;15979
06/02/2022;0;0;0;9064
07/02/2022;0;0;0;7795
08/02/2022;0;0;0;13215
09/02/2022;0;0;0;21509
10/02/2022;0;0;0;15381
11/02/2022;0;0;0;47739
12/02/2022;0;0;0;19553
13/02/2022;0;0;0;5959
14/02/2022;0;0;0;6720
15/02/2022;0;0;0;4186
16/02/2022;0;0;0;11031
17/02/2022;0;0;0;7402
18/02/2022;0;0;0;10811
19/02/2022;0;0;0;13772
20/02/2022;0;0;0;30546
21/02/2022;0;0;0;12057
22/02/2022;0;0;0;20399
23/02/2022;0;0;0;55616
24/02/2022;0;0;0;5853
25/02/2022;0;0;0;10786
26/02/2022;0;0;0;38110
27/02/2022;0;0;0;77543
28/02/2022;0;0;0;24037
01/03/2022;0;0;0;86921
02/03/2022;0;0;0;12907
03/03/2022;0;0;0;58165
04/03/2022;0;0;0;92246
05/03/2022;0;0;0;89103
06/03/2022;0;0;0;92964
07/03/2022;0;0;0;24653
08/03/2022;0;0;0;29439
09/03/2022;0;0;0;89959
10/03/2022;0;0;0;103863
