Havaintoasema,Vuosi,Kuukausi,Päivä,Paisteaika (s)
Lappeenranta Konnunsuo,2022,1,1,14655
Lappeenranta Konnunsuo,2022,1,2,0
Lappeenranta Konnunsuo,2022,1,3,0
Lappeenranta Konnunsuo,2022,1,4,0
Lappeenranta Konnunsuo,2022,1,5,0
Lappeenranta Konnunsuo,2022,1,6,0
Lappeenranta Konnunsuo,2022,1,7,13705
Lappeenranta Konnunsuo,2022,1,8,5975
Lappeenranta Konnunsuo,2022,1,9,0
Lappeenranta Konnunsuo,2022,1,10,16385
Lappeenranta Konnunsuo,2022,1,11,1110
Lappeenranta Konnunsuo,2022,1,12,0
Lappeenranta Konnunsuo,2022,1,13,5475
Lappeenranta Konnunsuo,2022,1,14,0
Lappeenranta Konnunsuo,2022,1,15,235
Lappeenranta Konnunsuo,2022,1,16,8950
Lappeenranta Konnunsuo,2022,1,17,8365
Lappeenranta Konnunsuo,2022,1,18,4935
Lappeenranta Konnunsuo,2022,1,19,0
Lappeenranta Konnunsuo,2022,1,20,0
Lappeenranta Konnunsuo,2022,1,21,0
Lappeenranta Konnunsuo,2022,1,22,0
Lappeenranta Konnunsuo,2022,1,23,0
Lappeenranta Konnunsuo,2022,1,24,0
Lappeenranta Konnunsuo,2022,1,25,21940
Lappeenranta Konnunsuo,2022,1,26,0
Lappeenranta Konnunsuo,2022,1,27,0
Lappeenranta Konnunsuo,2022,1,28,0
Lappeenranta Konnunsuo,2022,1,29,20
Lappeenranta Konnunsuo,2022,1,30,0
Lappeenranta Konnunsuo,2022,1,31,0
Lappeenranta Konnunsuo,2022,2,1,0
Lappeenranta Konnunsuo,2022,2,2,0
Lappeenranta Konnunsuo,2022,2,3,10870
Lappeenranta Konnunsuo,2022,2,4,130
Lappeenranta Konnunsuo,2022,2,5,0
Lappeenranta Konnunsuo,2022,2,6,0
Lappeenranta Konnunsuo,2022,2,7,0
Lappeenranta Konnunsuo,2022,2,8,0
Lappeenranta Konnunsuo,2022,2,9,9485
Lappeenranta Konnunsuo,2022,2,10,1085
Lappeenranta Konnunsuo,2022,2,11,21535
Lappeenranta Konnunsuo,2022,2,12,1585
Lappeenranta Konnunsuo,2022,2,13,0
Lappeenranta Konnunsuo,2022,2,14,0
Lappeenranta Konnunsuo,2022,2,15,0
Lappeenranta Konnunsuo,2022,2,16,2110
Lappeenranta Konnunsuo,2022,2,17,0
Lappeenranta Konnunsuo,2022,2,18,0
Lappeenranta Konnunsuo,2022,2,19,0
Lappeenranta Konnunsuo,2022,2,20,8720
Lappeenranta Konnunsuo,2022,2,21,0
Lappeenranta Konnunsuo,2022,2,22,0
Lappeenranta Konnunsuo,2022,2,23,22850
Lappeenranta Konnunsuo,2022,2,24,0
Lappeenranta Konnunsuo,2022,2,25,0
Lappeenranta Konnunsuo,2022,2,26,15145
Lappeenranta Konnunsuo,2022,2,27,32360
Lappeenranta Konnunsuo,2022,2,28,8750
Lappeenranta Konnunsuo,2022,3,1,34045
Lappeenranta Konnunsuo,2022,3,2,515
Lappeenranta Konnunsuo,2022,3,3,0
Lappeenranta Konnunsuo,2022,3,4,34490
Lappeenranta Konnunsuo,2022,3,5,33550
Lappeenranta Konnunsuo,2022,3,6,33155
Lappeenranta Konnunsuo,2022,3,7,6050
Lappeenranta Konnunsuo,2022,3,8,1520
Lappeenranta Konnunsuo,2022,3,9,33575
Lappeenranta Konnunsuo,2022,3,10,36715
Lappeenranta Konnunsuo,2022,3,11,0
Lappeenranta Konnunsuo,2022,3,12,37530
Lappeenranta Konnunsuo,2022,3,13,36970
Lappeenranta Konnunsuo,2022,3,14,38000
Lappeenranta Konnunsuo,2022,3,15,39430
Lappeenranta Konnunsuo,2022,3,16,39255
Lappeenranta Konnunsuo,2022,3,17,39860
Lappeenranta Konnunsuo,2022,3,18,38940
Lappeenranta Konnunsuo,2022,3,19,27085
Lappeenranta Konnunsuo,2022,3,20,40690
Lappeenranta Konnunsuo,2022,3,21,41025
Lappeenranta Konnunsuo,2022,3,22,41080
Lappeenranta Konnunsuo,2022,3,23,35630
Lappeenranta Konnunsuo,2022,3,24,19305
Lappeenranta Konnunsuo,2022,3,25,0
Lappeenranta Konnunsuo,2022,3,26,130
Lappeenranta Konnunsuo,2022,3,27,37755
Lappeenranta Konnunsuo,2022,3,28,705
Lappeenranta Konnunsuo,2022,3,29,42625
Lappeenranta Konnunsuo,2022,3,30,22650
Lappeenranta Konnunsuo,2022,3,31,35805
Lappeenranta Konnunsuo,2022,4,1,35750
Lappeenranta Konnunsuo,2022,4,2,44475
Lappeenranta Konnunsuo,2022,4,3,28450
Lappeenranta Konnunsuo,2022,4,4,1425
Lappeenranta Konnunsuo,2022,4,5,0
Lappeenranta Konnunsuo,2022,4,6,29355
Lappeenranta Konnunsuo,2022,4,7,0
Lappeenranta Konnunsuo,2022,4,8,330
Lappeenranta Konnunsuo,2022,4,9,10895
Lappeenranta Konnunsuo,2022,4,10,4885
Lappeenranta Konnunsuo,2022,4,11,14210
Lappeenranta Konnunsuo,2022,4,12,9515
Lappeenranta Konnunsuo,2022,4,13,45330
Lappeenranta Konnunsuo,2022,4,14,770
Lappeenranta Konnunsuo,2022,4,15,180
Lappeenranta Konnunsuo,2022,4,16,46205
Lappeenranta Konnunsuo,2022,4,17,37335
Lappeenranta Konnunsuo,2022,4,18,22120
Lappeenranta Konnunsuo,2022,4,19,31740
Lappeenranta Konnunsuo,2022,4,20,50145
Lappeenranta Konnunsuo,2022,4,21,51005
Lappeenranta Konnunsuo,2022,4,22,51115
Lappeenranta Konnunsuo,2022,4,23,18290
Lappeenranta Konnunsuo,2022,4,24,49475
Lappeenranta Konnunsuo,2022,4,25,480
Lappeenranta Konnunsuo,2022,4,26,16595
Lappeenranta Konnunsuo,2022,4,27,31240
Lappeenranta Konnunsuo,2022,4,28,35920
Lappeenranta Konnunsuo,2022,4,29,27785
Lappeenranta Konnunsuo,2022,4,30,42230
Lappeenranta Konnunsuo,2022,5,1,16760
Lappeenranta Konnunsuo,2022,5,2,20095
Lappeenranta Konnunsuo,2022,5,3,12610
Lappeenranta Konnunsuo,2022,5,4,37925
Lappeenranta Konnunsuo,2022,5,5,11070
Lappeenranta Konnunsuo,2022,5,6,43640
